message_id,channel_name,detected_class,confidence_score,image_category
10,CheMed123,none,0.0,other
11,CheMed123,clock,0.4273,other
13,CheMed123,hot dog,0.5039,other
14,CheMed123,none,0.0,other
15,CheMed123,none,0.0,other
17,CheMed123,bottle,0.526,product_display
18,CheMed123,none,0.0,other
19,CheMed123,person,0.9401,lifestyle
2,CheMed123,bottle,0.3872,product_display
20,CheMed123,person,0.9401,lifestyle
21,CheMed123,bird,0.2526,other
22,CheMed123,stop sign,0.2775,other
23,CheMed123,cell phone,0.6107,other
25,CheMed123,cell phone,0.8613,lifestyle
26,CheMed123,person,0.8276,promotional
27,CheMed123,none,0.0,other
29,CheMed123,person,0.6185,lifestyle
3,CheMed123,none,0.0,other
30,CheMed123,person,0.4139,lifestyle
31,CheMed123,bottle,0.5125,product_display
32,CheMed123,person,0.5882,lifestyle
33,CheMed123,orange,0.6712,other
34,CheMed123,none,0.0,other
38,CheMed123,none,0.0,other
39,CheMed123,mouse,0.9114,other
4,CheMed123,none,0.0,other
40,CheMed123,person,0.7191,lifestyle
41,CheMed123,person,0.421,lifestyle
43,CheMed123,person,0.8565,lifestyle
44,CheMed123,cell phone,0.9387,lifestyle
45,CheMed123,scissors,0.632,other
46,CheMed123,person,0.8272,lifestyle
48,CheMed123,none,0.0,other
49,CheMed123,kite,0.6802,other
50,CheMed123,cake,0.2916,other
52,CheMed123,person,0.7039,lifestyle
53,CheMed123,person,0.5738,lifestyle
55,CheMed123,stop sign,0.3071,other
56,CheMed123,person,0.833,lifestyle
57,CheMed123,person,0.8897,lifestyle
58,CheMed123,bottle,0.4115,product_display
59,CheMed123,bottle,0.2866,product_display
60,CheMed123,none,0.0,other
64,CheMed123,person,0.6865,lifestyle
67,CheMed123,stop sign,0.5792,other
70,CheMed123,potted plant,0.9247,lifestyle
71,CheMed123,person,0.8836,lifestyle
74,CheMed123,none,0.0,other
75,CheMed123,person,0.8353,lifestyle
76,CheMed123,person,0.8694,lifestyle
77,CheMed123,bottle,0.9558,product_display
78,CheMed123,person,0.7699,lifestyle
79,CheMed123,none,0.0,other
80,CheMed123,person,0.9279,promotional
81,CheMed123,bottle,0.8818,product_display
